"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"ABR 2019",905146884433.00,360884653669.00,213429291513.00,147455362156.00,132107061771.00,23084348168.00,95161709168.00,13167495210.00,693509225.00,1599908807.00,1415884220.00,9368558194.00,399770817772.00
"MAY 2019",913879410434.00,362133041890.00,213858791513.00,148274250377.00,133778653618.00,23503994204.00,96556758585.00,13067269829.00,650631000.00,1425439807.00,1411086206.00,9377090637.00,405754098276.00
"JUN 2019",927319946434.00,358139410987.00,214013791513.00,144125619474.00,134388870778.00,25103864325.00,95426562679.00,13177529774.00,680914000.00,831971807.00,1393017815.00,10406094194.00,422160580853.00
"JUL 2019",914845669433.00,352629875694.00,211469291513.00,141160584181.00,133080295081.00,24838735608.00,94777016366.00,12837804107.00,626739000.00,784651807.00,1351355179.00,9619525374.00,417379966298.00
"AGO 2019",919665801433.00,350101893335.00,211684791513.00,138417101822.00,133032731365.00,24308634218.00,94990661026.00,13106172122.00,627264000.00,875153807.00,1351246147.00,9600052194.00,424704724585.00
"SEP 2019",928292968433.00,352787302298.00,211884096513.00,140903205785.00,132988908303.00,24282196235.00,95184628557.00,12829385511.00,692698000.00,867081807.00,1340905319.00,9574457194.00,430734313512.00
"OCT 2019",913947050433.00,348460122036.00,210509596513.00,137950525523.00,129901965412.00,23129023287.00,94358214230.00,11747439895.00,667288000.00,788078807.00,1292930155.00,8970470374.00,424533483649.00
"NOV 2019",912047552433.00,346486417108.00,210247096513.00,136239320595.00,128683780394.00,22424605359.00,93947510168.00,11567848868.00,743816000.00,806603807.00,1289515769.00,9215134254.00,425566101101.00
"DIC 2019",915576865433.00,347137658787.00,212598496513.00,134539162274.00,124520057275.00,21242236899.00,91346002671.00,11168397706.00,763420000.00,845225807.00,1408906820.00,13140965194.00,428524051550.00
"ENE 2020",914086786433.00,336470153880.00,211007096513.00,125463057367.00,123732191590.00,21038384243.00,90975194537.00,10987958810.00,730654000.00,925521807.00,1392386633.00,12875136194.00,438691396329.00
"FEB 2020",925424903433.00,340142860875.00,212716536513.00,127426324362.00,123130974450.00,20682049971.00,90626144899.00,11040756580.00,782023000.00,794431807.00,1266119309.00,13046260194.00,447044256798.00
"MAR 2020",950419890433.00,364489021409.00,219241536513.00,145247484896.00,122919834825.00,20558475490.00,90880113557.00,10786787779.00,694458000.00,800804807.00,1263182446.00,13128090374.00,447818956572.00
"ABR 2020",956221775433.00,379179937143.00,229016096513.00,150163840630.00,121925053609.00,19513081170.00,90389384651.00,11251081372.00,771506416.00,791666807.00,1232046611.00,12855497374.00,440237573889.00
"MAY 2020",973177616433.00,398043735766.00,243019296513.00,155024439253.00,121059639421.00,19185915003.00,90473467131.00,10695591871.00,704665416.00,782589807.00,1225324449.00,13183029374.00,438883297616.00
"JUN 2020",1001962571433.00,416679586225.00,258604796513.00,158074789712.00,121977731152.00,19322888731.00,90880474049.00,10968080956.00,806287416.00,786552807.00,1224075722.00,12948673194.00,448345952333.00
"JUL 2020",998098683433.00,420967163018.00,264632796513.00,156334366505.00,122028401578.00,19266601450.00,90871544750.00,10943783963.00,946471416.00,775086807.00,1218835983.00,12602771194.00,440506424853.00
"AGO 2020",1003425539434.00,428609463756.00,271545796513.00,157063667243.00,122019824612.00,19229347233.00,90807789210.00,11039553754.00,943134416.00,777065807.00,1217247983.00,12801075637.00,438000861639.00
"SEP 2020",1012352134433.00,438145019464.00,280858796513.00,157286222951.00,121793408131.00,18834973219.00,90851706046.00,11162005451.00,944723416.00,778035807.00,1208104722.00,12733949194.00,437693617115.00
"OCT 2020",1000773411434.00,438946349083.00,286806929513.00,152139419570.00,119215657231.00,18195793841.00,89200693811.00,10893256164.00,925913416.00,774652807.00,1152314781.00,10439812825.00,430244624707.00
"NOV 2020",1004508316434.00,447329082771.00,295407529513.00,151921553258.00,119995488220.00,17972646566.00,90220518804.00,10872361434.00,929961416.00,760568807.00,1144539827.00,11391909563.00,423886727246.00
"DIC 2020",1005941408433.00,450180471211.00,301774529513.00,148405941698.00,120427079132.00,18327674512.00,90293379523.00,10873808681.00,932216416.00,757742988.00,1145275674.00,11443337382.00,421987502046.00
"ENE 2021",1009515133434.00,450018891281.00,307010529513.00,143008361768.00,118448267224.00,17489415508.00,89108952055.00,10978198245.00,871701416.00,797039988.00,1135517167.00,11428369382.00,427687048392.00
"FEB 2021",1025767547434.00,460807315865.00,313812229513.00,146995086352.00,116655363380.00,16559385340.00,89115074754.00,10127246870.00,853656416.00,826134988.00,1134989525.00,11520095202.00,434823648474.00
"MAR 2021",1039563858433.00,471317200731.00,322595729513.00,148721471218.00,116311977764.00,16434744297.00,89135656312.00,9876376739.00,865200416.00,783966988.00,1138414226.00,11643285524.00,438369013200.00
"ABR 2021",1032945283433.00,477559893445.00,330367929513.00,147191963932.00,112428824090.00,14567104147.00,87537015755.00,9438802774.00,885901414.00,777396988.00,1036441886.00,11196755382.00,429945971642.00
"MAY 2021",1044902012433.00,489810668629.00,339295429513.00,150515239116.00,112255217835.00,14194772040.00,87936328581.00,9248448800.00,875668414.00,771313988.00,1034143886.00,11352726382.00,429677941713.00
"JUN 2021",1064704313433.00,496531746856.00,348282929513.00,148248817343.00,112184965772.00,13999767229.00,88126648607.00,9149485522.00,909064414.00,757353988.00,1037776829.00,11282554382.00,442909915606.00
"JUL 2021",1055331490433.00,493415238712.00,352412929513.00,141002309199.00,110826699807.00,13771972911.00,87276135525.00,8906401957.00,872189414.00,746723988.00,1011404809.00,10894937382.00,438436485735.00
"AGO 2021",1060616888433.00,498834120633.00,358861929513.00,139972191120.00,110621190558.00,13639840276.00,87287978107.00,8809788761.00,883583414.00,751545988.00,1016275809.00,11175934382.00,438217821063.00
"SEP 2021",1075816386433.00,504876616913.00,366958954513.00,137917662400.00,110393440675.00,13278783050.00,87550977811.00,8696215400.00,867464414.00,756828988.00,1015806809.00,11560924382.00,447212768666.00
"OCT 2021",1065005142433.00,503543038949.00,372525954513.00,131017084436.00,109849998444.00,13027607214.00,87438015841.00,8528591975.00,855783414.00,763264988.00,1008834809.00,11196487382.00,438643517861.00
"NOV 2021",1069835460435.00,508370754392.00,377873954513.00,130496799879.00,108911528924.00,13003429897.00,86626450266.00,8445329347.00,836319414.00,755532988.00,991568696.00,11514537344.00,439291538091.00
"DIC 2021",1072862838434.00,514372637021.00,382334954513.00,132037682508.00,109055566143.00,13073676647.00,86813117856.00,8140830226.00,1027941414.00,782220988.00,990118106.00,11717060344.00,435945235832.00
"ENE 2022",1071322819433.00,514895053249.00,382734454513.00,132160598736.00,104739209825.00,11614408873.00,84025000340.00,8033872198.00,1065928414.00,701423034.00,898537819.00,11563440786.00,438525154720.00
"FEB 2022",1089831570433.00,525152490972.00,387260254513.00,137892236459.00,105334577094.00,11756717477.00,84534150064.00,7934618139.00,1109091414.00,750239034.00,897286743.00,12609374786.00,445087601804.00
"MAR 2022",1102641744433.00,533024744748.00,391975354513.00,141049390235.00,105239348167.00,12056677285.00,84233781873.00,7864041595.00,1084847414.00,763017034.00,898747095.00,14220697786.00,448495189603.00
"ABR 2022",1092909547433.00,531595002081.00,392760004513.00,138834997568.00,104849192608.00,11980760842.00,84033130512.00,7607762839.00,1227538414.00,756538034.00,883316314.00,15260801786.00,439564696610.00
"MAY 2022",1103992641433.00,539532256450.00,397413504513.00,142118751937.00,105255927764.00,12584293506.00,84170607551.00,7278091293.00,1222935414.00,737421034.00,894961946.00,15441665786.00,442130408453.00
"JUN 2022",1122203608433.00,546197030449.00,400756504513.00,145440525936.00,107115477136.00,14623871000.00,83497876901.00,7749044820.00,1244684414.00,761014174.00,927937946.00,15734385786.00,451467762942.00
"JUL 2022",1133907023433.00,554389537621.00,406887504513.00,147502033108.00,108873095721.00,15793057000.00,84246049901.00,7627480820.00,1206508000.00,777542174.00,942570465.00,15719978786.00,453204298666.00
"AGO 2022",1139804986433.00,560333143641.00,407597004513.00,152736139128.00,109577123380.00,16129605000.00,84294784146.00,7897764820.00,1254969414.00,776072174.00,943795405.00,15933514786.00,452241337047.00
"SEP 2022",1155224697433.00,564369631890.00,411099004513.00,153270627377.00,111695410380.00,17607984000.00,85118939146.00,7729795820.00,1238691414.00,781732174.00,979378213.00,16171463786.00,461227080990.00
"OCT 2022",1148502338433.00,561084892069.00,408483504513.00,152601387556.00,112157267640.00,18178448000.00,85012993820.00,7682241820.00,1283584000.00,806236174.00,1042459313.00,15110523786.00,458300959451.00
"NOV 2022",1157406501433.00,565204991264.00,409875504513.00,155329486751.00,117007698818.00,21924457000.00,85780254309.00,8019748510.00,1283239000.00,907414174.00,1282237461.00,15747256786.00,457256902930.00
"DIC 2022",1161554311433.00,566822176628.00,410978904513.00,155843272115.00,120916652227.00,24963003000.00,86785241302.00,7889117510.00,1279290414.00,995928174.00,1407139511.00,16169216786.00,455243198107.00
"ENE 2023",1152160162433.95,562170506649.10,405953944513.10,156216562136.00,121372105042.10,26569246000.42,85164840809.19,8366971818.11,1271046414.38,1058825816.12,1446794591.44,15681924507.69,450430005827.50
"FEB 2023",1184135464433.97,566953561705.10,408233944513.10,158719617192.00,126667365693.60,30259550000.42,86131294459.19,8893423819.59,1383097414.38,1187588457.78,1577581271.20,16066923507.69,471682443798.60
"MAR 2023",1199458999433.96,573639172253.10,411799974513.10,161839197740.00,128509821193.60,32174481000.42,86678893959.19,8345940819.59,1310505414.38,1084026099.45,1651866451.62,17646333507.69,476927779928.50
"ABR 2023",1191951779433.96,564885467203.10,409452834513.10,155432632690.00,129468633193.60,32799289000.42,87292325959.19,8067563819.59,1309454414.38,1241669741.12,1731025734.05,17444567507.69,477180416054.40
"MAY 2023",1206319421433.95,566202055741.10,411643834513.10,154558221228.00,133737490193.60,35212844000.42,88628471959.19,8410773819.59,1485400414.38,1298084492.78,1819426746.38,17809923507.69,485452440752.40
"JUN 2023",1231777590434.02,569431386794.50,412608834513.10,156822552281.50,135417989193.60,35254518000.42,89445379959.19,8693729819.59,2024361414.38,1322413134.45,1922385083.38,17522964507.69,506160451720.30
"JUL 2023",1224750182433.99,561830979217.00,406792834513.10,155038144704.00,136783611786.10,36306800000.42,89839366551.32,8601052819.94,2036392414.38,1301492776.12,1891726091.38,17648152507.69,505294220055.60
"AGO 2023",1231359738434.01,562356889380.00,407790834513.10,154566054867.00,136814575734.00,36360535000.42,89935595217.98,8488305101.19,2030140414.38,1342624417.78,1942703112.34,17487544507.69,511415401282.10
"SEP 2023",1246062424433.96,568909681495.10,408468334513.10,160441346982.00,139039267335.80,37653778000.42,90730019884.65,8572867036.33,2082602414.38,1365264047.99,2037460318.18,17595127507.69,517115623729.20
"OCT 2023",1241755704433.91,561201296939.10,401681384513.10,159519912426.00,138496095681.40,37367493000.42,90372347884.65,8664462381.99,2091792414.38,1295482579.66,1893967472.76,17712847507.69,521156014253.30
"NOV 2023",1248171844433.97,561370399833.10,401482484513.10,159887915320.00,138235760155.50,36234662000.42,91327000049.19,8576622691.46,2097475414.38,1727902121.32,2082609734.46,17900014507.69,526855158081.90
"DIC 2023",1251602217433.93,560322973666.10,401868484513.10,158454489153.00,138609860095.00,36053306000.42,92185124414.24,8264819265.99,2106610414.38,1384555762.99,2146231410.75,17862258507.69,531276337991.40
"ENE 2024",1263411495433.84,554963773651.10,395763601513.10,159200172138.00,136879983355.00,34914978000.42,91115315674.25,8684817265.99,2164872414.38,1584820522.32,2195988296.23,17833433507.69,549953496101.50
