AGO 2018,69285344000.00,8133806185.00,0.00,8133806185.00,3925546864.00,2561154864.00,56019000.00,1308373000.00,0.00,26700000.00,10994000.00,4121615000.00,53066681951.00
SEP 2018,68538069000.00,8998738555.00,0.00,8998738555.00,3580434330.00,2418043300.00,52092030.00,1110299000.00,0.00,26682000.00,10229000.00,3726515000.00,52195470115.00
OCT 2018,69701935000.00,10653302715.00,0.00,10653302715.00,3822283156.00,2714089126.00,52017030.00,1056177000.00,0.00,26932000.00,9737000.00,4176515000.00,51013165129.00
NOV 2018,71121413000.00,11615123144.00,0.00,11615123144.00,4364980596.00,3215747346.00,99974250.00,1049259000.00,0.00,26723000.00,8851000.00,3764076000.00,51341659260.00
DIC 2018,70442245000.00,10614174267.00,0.00,10614174267.00,6133526816.00,4498772566.00,207760250.00,1426994000.00,0.00,31971000.00,8555000.00,4264176000.00,49389841917.00
ENE 2019,69927377000.00,10304738955.00,0.00,10304738955.00,6219626031.00,4520816031.00,109904000.00,1588906000.00,0.00,26726000.00,8413000.00,4262676000.00,49105197014.00
FEB 2019,70049399000.00,9974064486.00,0.00,9974064486.00,5702017033.00,4152344033.00,107417000.00,1442256000.00,0.00,30384000.00,8219000.00,4262676000.00,50072038481.00
MAR 2019,68686779000.00,13065707890.00,0.00,13065707890.00,5936541020.00,4036044770.00,235734250.00,1664762000.00,0.00,16496000.00,9028000.00,4262676000.00,45396330090.00
ABR 2019,67221764000.00,13342145670.00,0.00,13342145670.00,5557039743.00,3698915493.00,186228250.00,1671896000.00,0.00,12533000.00,8985000.00,4137676000.00,44163384587.00
MAY 2019,67088719000.00,11345190154.00,0.00,11345190154.00,5201316371.00,3453795121.00,131938250.00,1615583000.00,0.00,15384000.00,9414000.00,3637676000.00,46879738475.00
JUN 2019,67284367000.00,12648453698.00,0.00,12648453698.00,5657646914.00,4003181664.00,131821250.00,1522644000.00,0.00,12275000.00,9443000.00,3262706000.00,45693842388.00
JUL 2019,66465799000.00,11574436525.00,0.00,11574436525.00,6137494578.00,3854540678.00,220066000.00,2062887900.00,0.00,6934000.00,9464000.00,2157146000.00,46580323897.00
AGO 2019,64555389000.00,11477618894.00,0.00,11477618894.00,6170626889.00,3917848630.00,214402782.00,2038375477.00,0.00,6534000.00,8989000.00,1002246000.00,45889374217.00
SEP 2019,65204874000.00,10916312455.00,0.00,10916312455.00,6348290337.00,4075038030.00,284693000.00,1988559307.00,0.00,6634000.00,9018000.00,1001246000.00,46923373208.00
OCT 2019,65953178000.00,8131319935.00,0.00,8131319935.00,6090046146.00,4203177707.00,200301000.00,1686567439.00,0.00,5451000.00,8505000.00,1351246000.00,50366609919.00
NOV 2019,67986393000.00,9138483749.00,0.00,9138483749.00,5731653181.00,3982874500.00,191406000.00,1557372681.00,0.00,1151000.00,8594000.00,1756750000.00,51349761070.00
DIC 2019,68335465000.00,9226772028.00,0.00,9226772028.00,5473181010.00,3570607773.00,338293000.00,1564280237.00,0.00,501000.00,11984000.00,2053238000.00,51569788962.00
ENE 2020,68981478000.00,10359433139.00,0.00,10359433139.00,5709532282.00,4033560282.00,201939000.00,1474033000.00,0.00,401000.00,11394000.00,2063238000.00,50837479579.00
FEB 2020,68565589000.00,9285232585.00,0.00,9285232585.00,3802576343.00,2562034343.00,235904000.00,1004638000.00,0.00,1369000.00,13910000.00,2063238000.00,53399263072.00
MAR 2020,68888515000.00,9945650451.00,0.00,9945650451.00,3573088054.00,2225567875.00,251114000.00,1096406179.00,0.00,29114000.00,12222000.00,2063238000.00,53265202495.00
ABR 2020,72877115000.00,12141804537.00,220000000.00,11921804537.00,6187931288.00,3915846453.00,248763000.00,2023321835.00,0.00,29113000.00,16250000.00,2292332000.00,52209684175.00
MAY 2020,78262639000.00,15599406445.00,470000000.00,15129406445.00,6621168926.00,4169078926.00,357863000.00,2093227000.00,1000000.00,27793000.00,14892000.00,2358332000.00,53641046629.00
JUN 2020,81414036000.00,17889534596.00,670000000.00,17219534596.00,6063938514.00,3849730514.00,438033000.00,1776175000.00,0.00,16351000.00,10238000.00,2139532000.00,55294441890.00
JUL 2020,84648979000.00,18969203587.00,820000000.00,18149203587.00,6117804985.00,3852290758.00,392051000.00,1873463227.00,0.00,16451000.00,10705000.00,2140732000.00,57394082428.00
AGO 2020,86915431000.00,20649023006.00,945000000.00,19704023006.00,6458850302.00,4054934302.00,386410000.00,2017506000.00,0.00,19020000.00,11986000.00,2148532000.00,57628019692.00
SEP 2020,88038037000.00,19789816278.00,1195000000.00,18594816278.00,6089872646.00,3662492623.00,492397000.00,1934983023.00,0.00,4016000.00,12335000.00,1639194000.00,60502803076.00
OCT 2020,85786558000.00,18967800009.00,1120000000.00,17847800009.00,5708105809.00,3354185809.00,396197000.00,1957723000.00,0.00,3995000.00,11185000.00,1197594000.00,59897878182.00
NOV 2020,82545401000.00,18951959320.00,900000000.00,18051959320.00,5784612942.00,3279545942.00,379429000.00,2125638000.00,0.00,2666000.00,10627000.00,239300000.00,57556235738.00
DIC 2020,79765735000.00,17588532008.00,750000000.00,16838532008.00,6713672260.00,3919698593.00,572649000.00,2221324667.00,0.00,3705000.00,11369000.00,233100000.00,55215356732.00
ENE 2021,79408165000.00,18737971201.00,750000000.00,17987971201.00,5943221559.00,3445578498.00,539655000.00,1957988061.00,0.00,3584000.00,10174000.00,577800000.00,54135414240.00
FEB 2021,81051316000.00,19612302435.00,775000000.00,18837302435.00,6004376267.00,3555385834.00,458084914.00,1990905519.00,0.00,3600000.00,16742000.00,606700000.00,54807595298.00
MAR 2021,82265022000.00,16260036019.00,800000000.00,15460036019.00,6277806644.00,3543471564.00,560901879.00,2173433201.00,0.00,3613000.00,17256000.00,631600000.00,59074710337.00
ABR 2021,81439850000.00,14267066889.00,900000000.00,13367066889.00,5932495860.00,3344152156.00,555941039.00,2032402665.00,0.00,3583000.00,15871000.00,610600000.00,60610233251.00
